odiNumber,model_clean,query_year,complaint_date,is_crash,is_fire,injuries,deaths,component
11678576,Model S,2015,2025-08-05,False,False,0,0,STEERING
11677992,Model S,2015,2025-08-02,False,False,0,0,ELECTRICAL SYSTEM
11676489,Model S,2015,2025-07-27,False,False,0,0,POWER TRAIN
11674779,Model S,2015,2025-07-19,False,False,0,0,UNKNOWN OR OTHER
11671371,Model S,2015,2025-07-05,False,False,0,0,STEERING
11671371,Model S,2015,2025-07-05,False,False,0,0,ENGINE
11671238,Model S,2015,2025-07-04,False,False,0,0,STEERING
11664240,Model S,2015,2025-06-01,False,False,0,0,LATCHES/LOCKS/LINKAGES
11664240,Model S,2015,2025-06-01,False,False,0,0,STRUCTURE
11658538,Model S,2015,2025-05-02,False,False,0,0,STEERING
11654008,Model S,2015,2025-04-11,False,False,0,0,STRUCTURE
11648345,Model S,2015,2025-03-14,False,False,0,0,LATCHES/LOCKS/LINKAGES
11645192,Model S,2015,2025-02-26,True,False,0,0,SUSPENSION
11624386,Model S,2015,2024-11-09,False,False,0,0,STEERING
11624386,Model S,2015,2024-11-09,False,False,0,0,SUSPENSION
11624099,Model S,2015,2024-11-07,True,False,0,0,UNKNOWN OR OTHER
11624099,Model S,2015,2024-11-07,True,False,0,0,FORWARD COLLISION AVOIDANCE
11622580,Model S,2015,2024-10-29,False,False,0,0,SUSPENSION
11617666,Model S,2015,2024-10-02,True,False,0,0,POWER TRAIN
11617666,Model S,2015,2024-10-02,True,False,0,0,ELECTRICAL SYSTEM
11617666,Model S,2015,2024-10-02,True,False,0,0,UNKNOWN OR OTHER
11607787,Model S,2015,2024-08-11,False,False,0,0,SUSPENSION
11604982,Model S,2015,2024-07-28,False,False,0,0,UNKNOWN OR OTHER
11604982,Model S,2015,2024-07-28,False,False,0,0,LATCHES/LOCKS/LINKAGES
11604576,Model S,2015,2024-07-25,False,False,0,0,SUSPENSION
11600212,Model S,2015,2024-07-08,True,False,1,0,AIR BAGS
11588343,Model S,2015,2024-05-12,True,False,0,0,FORWARD COLLISION AVOIDANCE
11588135,Model S,2015,2024-05-10,False,False,0,0,ENGINE
11584979,Model S,2015,2024-04-24,False,False,0,0,SUSPENSION
11585045,Model S,2015,2024-04-24,False,False,0,0,STRUCTURE
11583917,Model S,2015,2024-04-18,False,False,0,0,POWER TRAIN
11583917,Model S,2015,2024-04-18,False,False,0,0,ELECTRICAL SYSTEM
11583917,Model S,2015,2024-04-18,False,False,0,0,FUEL/PROPULSION SYSTEM
11583598,Model S,2015,2024-04-17,False,False,0,0,ELECTRICAL SYSTEM
11583598,Model S,2015,2024-04-17,False,False,0,0,UNKNOWN OR OTHER
11583598,Model S,2015,2024-04-17,False,False,0,0,FORWARD COLLISION AVOIDANCE
11583058,Model S,2015,2024-04-15,False,False,0,0,ELECTRICAL SYSTEM
11581437,Model S,2015,2024-04-05,False,False,0,0,ELECTRICAL SYSTEM
11581437,Model S,2015,2024-04-05,False,False,0,0,VISIBILITY/WIPER
11581437,Model S,2015,2024-04-05,False,False,0,0,FORWARD COLLISION AVOIDANCE
11579552,Model S,2015,2024-03-26,False,False,0,0,STEERING
11579552,Model S,2015,2024-03-26,False,False,0,0,SUSPENSION
11578127,Model S,2015,2024-03-18,False,False,0,0,STEERING
11575626,Model S,2015,2024-03-05,False,False,0,0,ELECTRICAL SYSTEM
11575626,Model S,2015,2024-03-05,False,False,0,0,UNKNOWN OR OTHER
11574208,Model S,2015,2024-02-27,False,False,0,0,SUSPENSION
11572861,Model S,2015,2024-02-20,False,False,0,0,UNKNOWN OR OTHER
11572224,Model S,2015,2024-02-15,False,False,0,0,UNKNOWN OR OTHER
11572224,Model S,2015,2024-02-15,False,False,0,0,FORWARD COLLISION AVOIDANCE
11572224,Model S,2015,2024-02-15,False,False,0,0,LANE DEPARTURE
11571798,Model S,2015,2024-02-14,False,False,0,0,ELECTRICAL SYSTEM
11569489,Model S,2015,2024-02-02,False,False,0,0,POWER TRAIN
11566534,Model S,2015,2024-01-19,False,False,0,0,STRUCTURE
11566309,Model S,2015,2024-01-18,False,False,0,0,SUSPENSION
11563907,Model S,2015,2024-01-06,False,False,0,0,STRUCTURE
11563907,Model S,2015,2024-01-06,False,False,0,0,LATCHES/LOCKS/LINKAGES
11562665,Model S,2015,2023-12-29,False,False,0,0,STEERING
11561150,Model S,2015,2023-12-20,False,False,0,0,SUSPENSION
11561150,Model S,2015,2023-12-20,False,False,0,0,WHEELS
11560001,Model S,2015,2023-12-13,True,False,0,0,POWER TRAIN
11560001,Model S,2015,2023-12-13,True,False,0,0,VEHICLE SPEED CONTROL
11560001,Model S,2015,2023-12-13,True,False,0,0,FUEL/PROPULSION SYSTEM
