campaign,model,component,first_complaint_date,recall_date,lag_days,n_prior_complaints
22V037000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2022-01-27,1190,73
22V045000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2022-02-01,1195,76
21V00D000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2021-12-21,1153,66
21V846000,Model 3,FORWARD COLLISION AVOIDANCE,2020-10-22,2021-10-29,372,31
22V063000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2022-02-04,1198,78
22V169000,Model 3,BACK OVER PREVENTION,2018-11-13,2022-03-18,1221,12
22V235000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2022-04-12,1265,102
22V702000,Model 3,VISIBILITY,2020-04-08,2022-09-19,894,15
22V798000,Model 3,SEAT BELTS,2019-01-07,2022-10-21,1383,16
23V085000,Model 3,STEERING,2018-05-07,2023-02-15,1745,73
23V838000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2023-12-12,1874,270
24V051000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2024-01-30,1923,290
24V376000,Model 3,SEAT BELTS,2019-01-07,2024-05-28,1968,87
24V935000,Model 3,TIRES,2019-02-09,2024-12-17,2138,8
26V283000,Model 3,BACK OVER PREVENTION,2018-11-13,2026-05-05,2730,84
21V389000,Model 3,SEAT BELTS,2019-01-07,2021-05-25,869,5
22V263000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2022-04-18,1271,102
23V235000,Model 3,SUSPENSION,2018-07-17,2023-03-31,1718,128
24V153000,Model 3,FORWARD COLLISION AVOIDANCE,2020-10-22,2024-02-27,1223,1434
21V835000,Model 3,SUSPENSION,2018-07-17,2021-10-25,1196,92
21V834000,Model 3,AIR BAGS,2018-05-22,2021-10-25,1252,24
21V912000,Model Y,SUSPENSION,2020-09-01,2021-11-21,446,24
21V388000,Model Y,SEAT BELTS,2021-04-06,2021-05-25,49,1
20V709000,Model Y,SUSPENSION,2020-09-01,2020-11-17,77,4
22V050000,Model Y,ELECTRICAL SYSTEM,2020-09-13,2022-02-02,507,39
22V844000,Model Y,EXTERIOR LIGHTING,2021-03-25,2022-11-15,600,16
24V554000,Model Y,LATCHES/LOCKS/LINKAGES,2023-02-03,2024-07-24,537,7
22V317000,Model 3,FORWARD COLLISION AVOIDANCE,2020-10-22,2022-05-09,564,558
21V868000,Model S,AIR BAGS,2016-08-06,2021-11-09,1921,30
21V00B000,Model S,LATCHES/LOCKS/LINKAGES,2020-05-12,2021-12-21,588,6
22V104000,Model S,AIR BAGS,2016-08-06,2022-02-23,2027,32
22V296000,Model S,BACK OVER PREVENTION,2020-10-22,2022-05-03,558,42
22E092000,Model S,VISIBILITY,2021-03-09,2022-11-01,602,29
22V818000,Model S,STEERING,2015-10-16,2022-11-01,2573,172
23V488000,Model S,SEAT BELTS,2016-09-23,2023-07-14,2485,8
23V743000,Model S,STEERING,2015-10-16,2023-11-03,2940,199
25V172000,Model S,AIR BAGS,2016-08-06,2025-03-19,3147,50
24V967000,Model S,AIR BAGS,2016-08-06,2024-12-24,3062,49
22V526000,Model S,AIR BAGS,2016-08-06,2022-07-21,2175,38
23V862000,Model S,LATCHES/LOCKS/LINKAGES,2020-05-12,2023-12-19,1316,18
22V233000,Model X,AIR BAGS,2016-06-07,2022-04-08,2131,14
22V264000,Model X,STRUCTURE,2016-03-17,2022-04-18,2223,67
22V843000,Model X,AIR BAGS,2016-06-07,2022-11-15,2352,17
23V679000,Model X,ELECTRICAL SYSTEM,2017-01-07,2023-10-11,2468,216
23V434000,Model 3,ELECTRICAL SYSTEM,2018-10-25,2023-06-19,1698,228
25V092000,Model 3,STEERING,2018-05-07,2025-02-14,2475,286
24V457000,Cybertruck,STRUCTURE,2024-05-19,2024-06-19,31,1
24V832000,Cybertruck,ELECTRICAL SYSTEM,2024-04-29,2024-11-05,190,4
25V170000,Cybertruck,STRUCTURE,2024-05-19,2025-03-18,303,8
25V699000,Cybertruck,EXTERIOR LIGHTING,2024-10-25,2025-10-15,355,7
25V735000,Cybertruck,EXTERIOR LIGHTING,2024-10-25,2025-10-28,368,7
26V255000,Cybertruck,WHEELS,2025-03-13,2026-04-22,405,5
24V284000,Model 3,AIR BAGS,2018-05-22,2024-04-19,2159,121
25V002000,Model 3,BACK OVER PREVENTION,2018-11-13,2025-01-07,2247,66
